id,type,address,price,coords,lt,lg,totalScore
link_ad_83897872,Monolocale,"piazzale Biancamano 2, Moscova, Milano",1000,"[45.47823899999999, 9.1819484]",45.47823899999999,9.1819484,2.029638237916046
link_ad_83535941,Appartamento,"corso Magenta, San Vittore, Milano",5000,"[45.4657096, 9.1717594]",45.4657096,9.1717594,-1.44519283641822
link_ad_83588673,Appartamento,"via Archimede, Plebisciti - Susa, Milano",3200,"[45.4681442, 9.2225773]",45.4681442,9.2225773,0.4153012473306439
link_ad_81088197,Trilocale,"via Sansovino 3, Città Studi, Milano",1550,"[45.4793396, 9.217790599999999]",45.4793396,9.2177906,1.8354474231347462
link_ad_83000949,Bilocale,"via Carlo Imbonati 64, Dergano, Milano",1300,"[45.50395839999999, 9.182326399999999]",45.50395839999999,9.1823264,4.2563010338624725
link_ad_73880710,Trilocale,"corso Giuseppe Garibaldi 95, Moscova, Milano",3800,"[45.4772289, 9.1842828]",45.4772289,9.1842828,-0.38228956167145034
link_ad_82847513,Appartamento,"viale Coni Zugna, Dezza, Milano",2750,"[45.4596923, 9.1636455]",45.4596923,9.1636455,2.8195476278969123
link_ad_73917072,Bilocale,"corso Giuseppe Garibaldi 95, Moscova, Milano",2500,"[45.4772289, 9.1842828]",45.4772289,9.1842828,0.7384000935009638
link_ad_84158212,Bilocale,"corso Giuseppe Garibaldi 95, Moscova, Milano",2100,"[45.4772289, 9.1842828]",45.4772289,9.1842828,1.0832276797078606
link_ad_83692733,Quadrilocale,"via Archimede, Indipendenza, Milano",3200,"[45.4655042, 9.2160423]",45.4655042,9.2160423,-0.4374172648528909
link_ad_82947181,Bilocale,"ottimo stato, 11, Duomo, Milano",2400,"[45.4643653, 9.1885593]",45.4643653,9.1885593,0.8230715778249809
link_ad_82945583,Monolocale,"ottimo stato, nono piano, Duomo, Milano",2000,"[45.4640976, 9.1919265]",45.4640976,9.1919265,1.1689484203561722
link_ad_83770907,Bilocale,"viale Legioni Romane 8, Bande Nere, Milano",1050,"[45.46091029999999, 9.1343716]",45.46091029999999,9.1343716,1.9789891635074555
link_ad_82869489,Bilocale,"corso Magenta, San Vittore, Milano",1500,"[45.4657096, 9.1717594]",45.4657096,9.1717594,1.5720485428921251
link_ad_81424435,Bilocale,"via Pinamonte da Vimercate, Moscova, Milano",1250,"[45.4782881, 9.1823255]",45.4782881,9.1823255,1.814459114637081
link_ad_81740324,Bilocale,"via Fratelli Gabba, Brera, Milano",4500,"[45.4705638, 9.1900589]",45.4705638,9.1900589,-0.9809259749331671
link_ad_82557099,Trilocale,"via Giorgio Washington, Washington, Milano",1800,"[45.4599657, 9.1549035]",45.4599657,9.1549035,3.6364761132388796
link_ad_82509662,Trilocale,"via Cardinale Giovanni Cagliero, Maggiolina, Milano",1200,"[45.4964591, 9.2031314]",45.4964591,9.2031314,0.5200443557100374
link_ad_84056456,Trilocale,"via Fara 16, Centrale, Milano",2400,"[45.4834767, 9.198450800000002]",45.4834767,9.198450800000002,-0.46523954673520707
link_ad_82177848,Trilocale,"via Lorenzo mascheroni 18, Pagano, Milano",2350,"[45.4702664, 9.1653711]",45.4702664,9.1653711,0.8406652434806623
link_ad_83171835,Bilocale,"via Cucchiari 21, Cenisio, Milano",1650,"[45.4900587, 9.1672878]",45.4900587,9.1672878,2.921699937893748
link_ad_83565213,Bilocale,"via Ettore Ponti, Barona, Milano",900,"[45.442102, 9.154895699999999]",45.442102,9.1548957,2.1124712642752344
link_ad_71128948,Trilocale,"via Sant'Orsola, Carrobbio, Milano",3167,"[45.4628098, 9.181179]",45.4628098,9.181179,0.14236502922619376
link_ad_83291261,Trilocale,"via Gerolamo Cardano, Melchiorre Gioia, Milano",2350,"[45.4858416, 9.1969157]",45.4858416,9.1969157,3.431399669115484
link_ad_83231537,Bilocale,"via Bramante 29, Paolo Sarpi, Milano",1400,"[45.48147780000001, 9.1786605]",45.48147780000001,9.1786605,1.674294625565986
link_ad_84253702,Trilocale,"via pola 6, Isola, Milano",1000,"[45.4887521, 9.194399299999999]",45.4887521,9.1943993,0.722473664723397
link_ad_84253532,Bilocale,"via Paolo Pallia 5, Rogoredo, Milano",800,"[45.4363602, 9.2336507]",45.4363602,9.2336507,1.5317985573375663
link_ad_84253610,Bilocale,"corso Giuseppe Garibaldi 16, Lanza, Milano",1500,"[45.4728672, 9.1838619]",45.4728672,9.1838619,1.599291987033519
link_ad_84253662,Bilocale,"via Paolo Pallia 5, Rogoredo, Milano",950,"[45.4363602, 9.2336507]",45.4363602,9.2336507,1.40248821250998
link_ad_84253482,Bilocale,"via Piero della Francesca 51, Sempione, Milano",1150,"[45.4855776, 9.160965000000001]",45.4855776,9.160965,3.3628954178806123
link_ad_84253742,Trilocale,"via Paolo Pallia 5, Rogoredo, Milano",1300,"[45.4363602, 9.2336507]",45.4363602,9.2336507,1.1007640745789455
link_ad_84253434,Bilocale,"via Andrea Maria Ampère 123, Casoretto, Milano",725,"[45.48856, 9.226289999999999]",45.48856,9.22629,2.4988142045856434
link_ad_84253450,Bilocale,"via alessi 10, Corso Genova, Milano",900,"[45.4578577, 9.1761296]",45.4578577,9.1761296,2.071205047851179
link_ad_84252226,Bilocale,"via Privata delle Primule 5, Lorenteggio, Milano",642,"[45.45130210000001, 9.1384127]",45.45130210000001,9.1384127,2.347851248344441
link_ad_84253400,Monolocale,"via capecelatro 45, San Siro, Milano",600,"[45.4711632, 9.1296082]",45.4711632,9.1296082,4.610614391782026
link_ad_84245184,Bilocale,"via via della Capinera 2, Inganni, Milano",800,"[45.4556034, 9.1203262]",45.4556034,9.1203262,2.1808472877672322
link_ad_84246714,Monolocale,"via Dino Villani 4, Dergano, Milano",900,"[45.4992281, 9.1888936]",45.4992281,9.1888936,4.625882480352972
link_ad_84240606,Bilocale,"via Popoli Uniti 14, Rovereto, Milano",700,"[45.495782, 9.219579]",45.495782,9.219579,0.9173397949344154
link_ad_84253226,Mansarda,"via Giovanni Rasori 2, Vercelli - Wagner, Milano",700,"[45.46769940000001, 9.1642311]",45.46769940000001,9.1642311,4.605009252593908
link_ad_84253760,Trilocale,"via solera da mantegazza 9, Lanza, Milano",2600,"[45.475493, 9.1826878]",45.475493,9.1826878,0.6504239712531772
link_ad_84253472,Loft,"viale Bligny 39, Bocconi, Milano",850,"[45.4507741, 9.1922941]",45.4507741,9.1922941,-0.31242173240997095
link_ad_84246352,Monolocale,"via Giancarlo Sismondi 50-1, Argonne - Corsica, Milano",650,"[45.467821, 9.232471000000002]",45.467821,9.232471000000002,1.7402917430024645
link_ad_84247668,Trilocale,"via Padova 64, Parco Trotter, Milano",950,"[45.4941799, 9.2242792]",45.4941799,9.2242792,0.6960717028104111
link_ad_84253498,Monolocale,"viale Bligny 42, Bocconi, Milano",650,"[45.4507741, 9.1922941]",45.4507741,9.1922941,-0.1400079393065227
link_ad_84253530,Trilocale,"via Letizia, Solari, Milano",1800,"[45.4576651, 9.1625762]",45.4576651,9.1625762,1.3571934163047013
link_ad_84249824,Attico,"via Andrea Maria Ampère 56, Città Studi, Milano",6300,"[45.4837923, 9.2266339]",45.4837923,9.2266339,-2.291768601794201
link_ad_84247450,Bilocale,"Alzaia Naviglio Pavese 34, Navigli - Darsena, Milano",900,"[45.4480879, 9.176929800000002]",45.4480879,9.176929800000002,2.1107716094226245
link_ad_84253504,Bilocale,"corso Giuseppe Garibaldi 16, Lanza, Milano",1300,"[45.4728672, 9.1838619]",45.4728672,9.1838619,1.771705780136967
link_ad_84246588,Bilocale,"via Francesco Caracciolo 74, Cenisio, Milano",750,"[45.4881332, 9.1587631]",45.4881332,9.1587631,3.6952413965601307
link_ad_84244814,Bilocale,"via San Vittore 14, San Vittore, Milano",1200,"[45.463174, 9.1711686]",45.463174,9.1711686,1.8236398508642924
link_ad_83376273,Trilocale,"via Luigi Resnati 12, Martini - Insubria, Milano",1450,"[45.4509284, 9.2219978]",45.4509284,9.2219978,1.0160502125484243
link_ad_83898502,Monolocale,"piazzale Biancamano 2, Moscova, Milano",1650,"[45.47823899999999, 9.1819484]",45.47823899999999,9.1819484,1.469293410329839
link_ad_84153236,Bilocale,"via Gorani, Carrobbio, Milano",2250,"[45.4643576, 9.181087]",45.4643576,9.181087,0.9372919493592766
link_ad_77890844,Appartamento,"via Alberto da Giussano 16, Pagano, Milano",4167,"[45.4691094, 9.1632258]",45.4691094,9.1632258,-0.7296136508413178
link_ad_82787905,Bilocale,"piazza Castello 29, Cadorna - Castello, Milano",2000,"[45.4700168, 9.1763216]",45.4700168,9.1763216,1.1554543388940266
link_ad_80243683,Appartamento,"piazzale Principessa Clotilde 8, Porta Nuova, Milano",3900,"[45.4798228, 9.1933943]",45.4798228,9.1933943,2.1085829753473173
link_ad_84158612,Bilocale,"via TORELLI, Farini, Milano",1000,"[45.4960694, 9.171605]",45.4960694,9.171605,4.521802914993677
link_ad_78905887,Attico,"via Federico Confalonieri, Isola, Milano",3000,"[45.4866653, 9.1914503]",45.4866653,9.1914503,2.8625413272815887
link_ad_83419157,Trilocale,"via Federico Tesio 11, San Siro, Milano",1600,"[45.47810459999999, 9.1172153]",45.47810459999999,9.1172153,3.7190057116654334
link_ad_84119850,Bilocale,"via Conservatorio 13, Palestro, Milano",1850,"[45.46655150000001, 9.2023595]",45.46655150000001,9.2023595,1.2989300466703937
link_ad_81948556,Bilocale,"via San Basilio 21, Greco - Segnano, Milano",1220,"[45.50945, 9.20797]",45.50945,9.20797,4.325202208631572
link_ad_80230363,Quadrilocale,"via Vincenzo Monti 5, Vincenzo Monti, Milano",3500,"[45.4665819, 9.1745751]",45.4665819,9.1745751,-0.14622598484836535
link_ad_83748871,Bilocale,"via via monviso 32, Paolo Sarpi, Milano",1150,"[45.4855545, 9.1699132]",45.4855545,9.1699132,3.3747115600610336
link_ad_84098556,Trilocale,"via Timavo 32, Isola, Milano",2000,"[45.4902566, 9.198515600000002]",45.4902566,9.198515600000002,-0.1426698064661558
link_ad_82005322,Bilocale,"via del fusaro 7, Washington, Milano",1100,"[45.46100630000001, 9.152242]",45.46100630000001,9.152242,4.2412702238034266
link_ad_79437449,Bilocale,"via Giovanni Prati 12, Sempione, Milano",1600,"[45.4789018, 9.1611543]",45.4789018,9.1611543,2.9966930537399525
link_ad_82787391,Bilocale,"via Claudio Debussy 4, Piazzale Siena, Milano",700,"[45.4656816, 9.130842]",45.4656816,9.130842,4.53955518885783
link_ad_84119848,Bilocale,"via Vigevano 8, Navigli - Darsena, Milano",1530,"[45.4530321, 9.1742884]",45.4530321,9.1742884,1.5788523605878275
link_ad_77043176,Bilocale,"via Joe Colombo, 16, Porta Nuova, Milano",4500,"[45.481784, 9.1932326]",45.481784,9.1932326,1.589886977237943
link_ad_83792100,Bilocale,"via Piero Maroncelli 5, Garibaldi - Corso Como, Milano",1100,"[45.4823633, 9.1833156]",45.4823633,9.1833156,4.507631644394526
link_ad_79592117,Bilocale,"via Gaetano Donizetti 46, Palestro, Milano",2500,"[45.4669698, 9.2048192]",45.4669698,9.2048192,0.7382542464549275
link_ad_80440387,Bilocale,"via Chieti 9, Sempione, Milano",1300,"[45.4818129, 9.1642779]",45.4818129,9.1642779,3.2523253860899435
link_ad_82350756,Bilocale,"via Confalonieri, 6, Isola, Milano",3500,"[45.4859974, 9.1899948]",45.4859974,9.1899948,2.4324034282257774
link_ad_83264429,Bilocale,"via Bergamo 6, Montenero, Milano",1200,"[45.4570023, 9.2080779]",45.4570023,9.2080779,1.279719648913886
link_ad_83433639,Bilocale,"viale della Liberazione 15, Porta Nuova, Milano",3000,"[45.48215039999999, 9.193638499999999]",45.48215039999999,9.1936385,2.8819303104000413
link_ad_83083627,Quadrilocale,"via Ugo Bassi 5, Isola, Milano",2300,"[45.4891037, 9.184403000000001]",45.4891037,9.184403,3.4477912044471437
link_ad_84223090,Monolocale,"via Cosenza 1, Martini - Insubria, Milano",650,"[45.45162, 9.22282]",45.45162,9.22282,1.7069164829812902
link_ad_83534409,Bilocale,"via Carlo Maria Maggi, Arena, Milano",1400,"[45.4774951, 9.1791989]",45.4774951,9.1791989,1.6820350966343283
link_ad_81208045,Monolocale,"via Padova 38, Pasteur, Milano",980,"[45.48904030000001, 9.2207493]",45.48904030000001,9.2207493,0.6945141097146268
link_ad_61470754,Trilocale,"via Emanuele Filiberto, Sempione, Milano",1900,"[45.4858965, 9.1585789]",45.4858965,9.1585789,2.7124079077415306
link_ad_80342185,Trilocale,"via Paolo da Cannobio 5, Duomo, Milano",1900,"[45.4613095, 9.1904278]",45.4613095,9.1904278,1.2437646593738916
link_ad_83608813,Quadrilocale,"via Olmetto, Missori, Milano",2500,"[45.4605818, 9.18947]",45.4605818,9.18947,0.722681133678456
link_ad_83316055,Monolocale,"via Pellegrino Rossi, Affori, Milano",605,"[45.5108317, 9.175812299999999]",45.5108317,9.1758123,4.8286581332336205
link_ad_75149792,Monolocale,"corso Como 9, Garibaldi - Corso Como, Milano",1500,"[45.4818759, 9.1871335]",45.4818759,9.1871335,4.169518848483641
link_ad_81481113,Quadrilocale,"piazza Sant'Erasmo, Brera, Milano",3500,"[45.4713319, 9.1922861]",45.4713319,9.1922861,-0.11799257830547472
link_ad_84160770,Attico,"via Maddalena 9, Missori, Milano",3500,"[45.4593819, 9.1882433]",45.4593819,9.1882433,-0.1456257197125419
link_ad_22618941,Bilocale,"via San Giuseppe Cottolengo, Tre Castelli - Faenza, Milano",800,"[45.4407366, 9.1452078]",45.4407366,9.1452078,2.2012568754697512
link_ad_83773761,Quadrilocale,"via Conservatorio, Palestro, Milano",4583,"[45.471425, 9.201948999999999]",45.471425,9.201949,-1.0525000390613264
link_ad_83919874,Attico,"ottimo stato, 184 mq, De Angeli, Milano",2850,"[45.4690621, 9.1481373]",45.4690621,9.1481373,2.7254291455150828
link_ad_82527504,Monolocale,"via Del Futurismo, Santa Giulia, Milano",750,"[45.4357619, 9.2441642]",45.4357619,9.2441642,1.5536602512907813
link_ad_83486027,Bilocale,"via Pier Paolo Pasolini 19, Cascina Merlata - Musocco, Milano",610,"[45.5120601, 9.0997489]",45.5120601,9.0997489,3.7077660499661143
link_ad_71167660,Bilocale,"piazzale Carlo Maciachini, Farini, Milano",2300,"[45.4975432, 9.1851156]",45.4975432,9.1851156,3.4183356919077332
link_ad_69203642,Bilocale,"via Moncalvo 46, Gambara, Milano",1030,"[45.4649998, 9.1429548]",45.4649998,9.1429548,4.285784919385465
